estimator,nclasses,nsamples,time
SKCEb_median,2,359,0.002361479
SKCEuq_median,2,359,0.002265557
SKCEul_median,2,359,6.083e-6
ECE_uniform,10,359,0.000120751
ECE_dynamic,10,359,0.000490558
SKCEb_median,10,359,0.003049525
SKCEuq_median,10,359,0.002972936
SKCEul_median,10,359,8.382e-6
ECE_uniform,100,359,0.001110573
ECE_dynamic,100,359,0.00152402
SKCEb_median,100,359,0.004934371
SKCEuq_median,100,359,0.004822927
SKCEul_median,100,359,1.4918e-5
ECE_uniform,1000,359,0.010971368
ECE_dynamic,1000,359,0.011450187
SKCEb_median,1000,359,0.021663485
SKCEuq_median,1000,359,0.021273919
SKCEul_median,1000,359,8.6107e-5
ECE_uniform,2,599,4.4903e-5
ECE_dynamic,2,599,0.000531694
SKCEb_median,2,599,0.006582331
SKCEuq_median,2,599,0.006333679
SKCEul_median,2,599,1.7636e-5
ECE_uniform,10,599,0.000368665
ECE_dynamic,10,599,0.001196755
SKCEb_median,10,599,0.008498855
SKCEuq_median,10,599,0.008272196
SKCEul_median,10,599,1.4036e-5
ECE_uniform,100,599,0.001848908
ECE_dynamic,100,599,0.002620417
SKCEb_median,100,599,0.013771252
SKCEuq_median,100,599,0.013500926
SKCEul_median,100,599,2.5619e-5
ECE_uniform,1000,599,0.018269687
ECE_dynamic,1000,599,0.02103853
SKCEb_median,1000,599,0.063236937
SKCEuq_median,1000,599,0.059805717
SKCEul_median,1000,599,0.000142736
ECE_uniform,2,1000,7.1365e-5
ECE_dynamic,2,1000,0.00098722
SKCEb_median,2,1000,0.018678573
SKCEuq_median,2,1000,0.017924228
SKCEul_median,2,1000,1.7269e-5
ECE_uniform,10,1000,0.000454025
ECE_dynamic,10,1000,0.001644882
SKCEb_median,10,1000,0.023993277
SKCEuq_median,10,1000,0.023498167
SKCEul_median,10,1000,2.3583e-5
ECE_uniform,100,1000,0.003138658
ECE_dynamic,100,1000,0.00512852
SKCEb_median,100,1000,0.038987181
SKCEuq_median,100,1000,0.038099229
SKCEul_median,100,1000,4.276e-5
ECE_uniform,1000,1000,0.032236778
ECE_dynamic,1000,1000,0.040609816
SKCEb_median,1000,1000,0.178661653
SKCEuq_median,1000,1000,0.176433638
SKCEul_median,1000,1000,0.00025236
