estimate,m,αᵢ,π,only_firstclass
0.033,10,0.1,0.0,true
0.176,10,0.1,0.0,true
0.339,10,0.1,0.0,true
0.26,10,0.1,0.0,true
0.006,10,0.1,0.0,true
0.091,10,0.1,0.0,true
0.27,10,0.1,0.0,true
0.015,10,0.1,0.0,true
0.072,10,0.1,0.0,true
0.018,10,0.1,0.0,true
0.491,10,0.1,0.0,true
0.463,10,0.1,0.0,true
0.091,10,0.1,0.0,true
0.182,10,0.1,0.0,true
0.066,10,0.1,0.0,true
0.065,10,0.1,0.0,true
0.318,10,0.1,0.0,true
0.64,10,0.1,0.0,true
0.361,10,0.1,0.0,true
0.781,10,0.1,0.0,true
0.031,10,0.1,0.0,true
0.007,10,0.1,0.0,true
0.528,10,0.1,0.0,true
0.386,10,0.1,0.0,true
0.18,10,0.1,0.0,true
0.699,10,0.1,0.0,true
0.125,10,0.1,0.0,true
0.042,10,0.1,0.0,true
0.0,10,0.1,0.0,true
0.262,10,0.1,0.0,true
0.353,10,0.1,0.0,true
0.208,10,0.1,0.0,true
0.246,10,0.1,0.0,true
0.699,10,0.1,0.0,true
0.197,10,0.1,0.0,true
0.268,10,0.1,0.0,true
0.324,10,0.1,0.0,true
0.247,10,0.1,0.0,true
0.881,10,0.1,0.0,true
0.092,10,0.1,0.0,true
0.031,10,0.1,0.0,true
0.323,10,0.1,0.0,true
0.837,10,0.1,0.0,true
0.414,10,0.1,0.0,true
0.021,10,0.1,0.0,true
0.068,10,0.1,0.0,true
0.744,10,0.1,0.0,true
0.126,10,0.1,0.0,true
0.766,10,0.1,0.0,true
0.766,10,0.1,0.0,true
0.425,10,0.1,0.0,true
0.313,10,0.1,0.0,true
0.627,10,0.1,0.0,true
0.266,10,0.1,0.0,true
0.14,10,0.1,0.0,true
0.024,10,0.1,0.0,true
0.351,10,0.1,0.0,true
0.013,10,0.1,0.0,true
0.075,10,0.1,0.0,true
0.423,10,0.1,0.0,true
0.324,10,0.1,0.0,true
0.294,10,0.1,0.0,true
0.001,10,0.1,0.0,true
0.279,10,0.1,0.0,true
0.283,10,0.1,0.0,true
0.135,10,0.1,0.0,true
0.266,10,0.1,0.0,true
0.291,10,0.1,0.0,true
0.14,10,0.1,0.0,true
0.093,10,0.1,0.0,true
0.217,10,0.1,0.0,true
0.161,10,0.1,0.0,true
0.104,10,0.1,0.0,true
0.338,10,0.1,0.0,true
0.176,10,0.1,0.0,true
0.584,10,0.1,0.0,true
0.089,10,0.1,0.0,true
0.091,10,0.1,0.0,true
0.28,10,0.1,0.0,true
0.231,10,0.1,0.0,true
0.638,10,0.1,0.0,true
0.019,10,0.1,0.0,true
0.307,10,0.1,0.0,true
0.62,10,0.1,0.0,true
0.354,10,0.1,0.0,true
0.345,10,0.1,0.0,true
0.346,10,0.1,0.0,true
0.58,10,0.1,0.0,true
0.138,10,0.1,0.0,true
0.026,10,0.1,0.0,true
0.443,10,0.1,0.0,true
0.214,10,0.1,0.0,true
0.17,10,0.1,0.0,true
0.21,10,0.1,0.0,true
0.303,10,0.1,0.0,true
0.461,10,0.1,0.0,true
0.302,10,0.1,0.0,true
0.68,10,0.1,0.0,true
0.657,10,0.1,0.0,true
0.177,10,0.1,0.0,true
0.568,10,0.1,0.0,true
0.165,10,0.1,0.0,true
0.249,10,0.1,0.0,true
0.054,10,0.1,0.0,true
0.312,10,0.1,0.0,true
0.186,10,0.1,0.0,true
0.239,10,0.1,0.0,true
0.55,10,0.1,0.0,true
0.09,10,0.1,0.0,true
0.535,10,0.1,0.0,true
0.144,10,0.1,0.0,true
0.213,10,0.1,0.0,true
0.454,10,0.1,0.0,true
0.148,10,0.1,0.0,true
0.643,10,0.1,0.0,true
0.096,10,0.1,0.0,true
0.509,10,0.1,0.0,true
0.27,10,0.1,0.0,true
0.39,10,0.1,0.0,true
0.008,10,0.1,0.0,true
0.068,10,0.1,0.0,true
0.214,10,0.1,0.0,true
0.476,10,0.1,0.0,true
0.162,10,0.1,0.0,true
0.055,10,0.1,0.0,true
0.576,10,0.1,0.0,true
0.189,10,0.1,0.0,true
0.543,10,0.1,0.0,true
0.001,10,0.1,0.0,true
0.029,10,0.1,0.0,true
0.026,10,0.1,0.0,true
0.015,10,0.1,0.0,true
0.104,10,0.1,0.0,true
0.046,10,0.1,0.0,true
0.052,10,0.1,0.0,true
0.192,10,0.1,0.0,true
0.845,10,0.1,0.0,true
0.262,10,0.1,0.0,true
0.219,10,0.1,0.0,true
0.194,10,0.1,0.0,true
0.575,10,0.1,0.0,true
0.207,10,0.1,0.0,true
0.56,10,0.1,0.0,true
0.047,10,0.1,0.0,true
0.085,10,0.1,0.0,true
0.265,10,0.1,0.0,true
0.211,10,0.1,0.0,true
0.858,10,0.1,0.0,true
0.189,10,0.1,0.0,true
0.314,10,0.1,0.0,true
0.472,10,0.1,0.0,true
0.179,10,0.1,0.0,true
0.118,10,0.1,0.0,true
0.086,10,0.1,0.0,true
0.546,10,0.1,0.0,true
0.279,10,0.1,0.0,true
0.427,10,0.1,0.0,true
0.242,10,0.1,0.0,true
0.063,10,0.1,0.0,true
0.047,10,0.1,0.0,true
0.006,10,0.1,0.0,true
0.253,10,0.1,0.0,true
0.409,10,0.1,0.0,true
0.743,10,0.1,0.0,true
0.411,10,0.1,0.0,true
0.201,10,0.1,0.0,true
0.22,10,0.1,0.0,true
0.937,10,0.1,0.0,true
0.022,10,0.1,0.0,true
0.768,10,0.1,0.0,true
0.005,10,0.1,0.0,true
0.146,10,0.1,0.0,true
0.114,10,0.1,0.0,true
0.113,10,0.1,0.0,true
0.617,10,0.1,0.0,true
0.555,10,0.1,0.0,true
0.281,10,0.1,0.0,true
0.218,10,0.1,0.0,true
0.013,10,0.1,0.0,true
0.001,10,0.1,0.0,true
0.238,10,0.1,0.0,true
0.018,10,0.1,0.0,true
0.092,10,0.1,0.0,true
0.328,10,0.1,0.0,true
0.416,10,0.1,0.0,true
0.094,10,0.1,0.0,true
0.556,10,0.1,0.0,true
0.42,10,0.1,0.0,true
0.553,10,0.1,0.0,true
0.009,10,0.1,0.0,true
0.72,10,0.1,0.0,true
0.651,10,0.1,0.0,true
0.331,10,0.1,0.0,true
0.304,10,0.1,0.0,true
0.292,10,0.1,0.0,true
0.401,10,0.1,0.0,true
0.503,10,0.1,0.0,true
0.075,10,0.1,0.0,true
0.649,10,0.1,0.0,true
0.28,10,0.1,0.0,true
0.111,10,0.1,0.0,true
0.318,10,0.1,0.0,true
0.181,10,0.1,0.0,true
0.105,10,0.1,0.0,true
0.51,10,0.1,0.0,true
0.07,10,0.1,0.0,true
0.149,10,0.1,0.0,true
0.344,10,0.1,0.0,true
0.142,10,0.1,0.0,true
0.179,10,0.1,0.0,true
0.055,10,0.1,0.0,true
0.411,10,0.1,0.0,true
0.182,10,0.1,0.0,true
0.058,10,0.1,0.0,true
0.099,10,0.1,0.0,true
0.445,10,0.1,0.0,true
0.274,10,0.1,0.0,true
0.007,10,0.1,0.0,true
0.617,10,0.1,0.0,true
0.473,10,0.1,0.0,true
0.017,10,0.1,0.0,true
0.065,10,0.1,0.0,true
0.092,10,0.1,0.0,true
0.471,10,0.1,0.0,true
0.343,10,0.1,0.0,true
0.014,10,0.1,0.0,true
0.772,10,0.1,0.0,true
0.081,10,0.1,0.0,true
0.416,10,0.1,0.0,true
0.266,10,0.1,0.0,true
0.265,10,0.1,0.0,true
0.143,10,0.1,0.0,true
0.012,10,0.1,0.0,true
0.382,10,0.1,0.0,true
0.242,10,0.1,0.0,true
0.381,10,0.1,0.0,true
0.5,10,0.1,0.0,true
0.253,10,0.1,0.0,true
0.266,10,0.1,0.0,true
0.373,10,0.1,0.0,true
0.054,10,0.1,0.0,true
0.054,10,0.1,0.0,true
0.555,10,0.1,0.0,true
0.255,10,0.1,0.0,true
0.002,10,0.1,0.0,true
0.155,10,0.1,0.0,true
0.411,10,0.1,0.0,true
0.546,10,0.1,0.0,true
0.097,10,0.1,0.0,true
0.174,10,0.1,0.0,true
0.019,10,0.1,0.0,true
0.334,10,0.1,0.0,true
0.811,10,0.1,0.0,true
0.052,10,0.1,0.0,true
0.006,10,0.1,0.0,true
0.038,10,0.1,0.0,true
0.015,10,0.1,0.0,true
0.002,10,0.1,0.0,true
0.188,10,0.1,0.0,true
0.255,10,0.1,0.0,true
0.349,10,0.1,0.0,true
0.707,10,0.1,0.0,true
0.204,10,0.1,0.0,true
0.081,10,0.1,0.0,true
0.043,10,0.1,0.0,true
0.101,10,0.1,0.0,true
0.15,10,0.1,0.0,true
0.169,10,0.1,0.0,true
0.243,10,0.1,0.0,true
0.274,10,0.1,0.0,true
0.111,10,0.1,0.0,true
0.097,10,0.1,0.0,true
0.209,10,0.1,0.0,true
0.11,10,0.1,0.0,true
0.395,10,0.1,0.0,true
0.658,10,0.1,0.0,true
0.19,10,0.1,0.0,true
0.074,10,0.1,0.0,true
0.306,10,0.1,0.0,true
0.166,10,0.1,0.0,true
0.132,10,0.1,0.0,true
0.068,10,0.1,0.0,true
0.408,10,0.1,0.0,true
0.178,10,0.1,0.0,true
0.061,10,0.1,0.0,true
0.027,10,0.1,0.0,true
0.77,10,0.1,0.0,true
0.032,10,0.1,0.0,true
0.716,10,0.1,0.0,true
0.142,10,0.1,0.0,true
0.133,10,0.1,0.0,true
0.247,10,0.1,0.0,true
0.691,10,0.1,0.0,true
0.212,10,0.1,0.0,true
0.169,10,0.1,0.0,true
0.24,10,0.1,0.0,true
0.142,10,0.1,0.0,true
0.103,10,0.1,0.0,true
0.019,10,0.1,0.0,true
0.01,10,0.1,0.0,true
0.146,10,0.1,0.0,true
0.4,10,0.1,0.0,true
0.354,10,0.1,0.0,true
0.692,10,0.1,0.0,true
0.642,10,0.1,0.0,true
0.224,10,0.1,0.0,true
0.552,10,0.1,0.0,true
0.213,10,0.1,0.0,true
0.006,10,0.1,0.0,true
0.051,10,0.1,0.0,true
0.326,10,0.1,0.0,true
0.061,10,0.1,0.0,true
0.439,10,0.1,0.0,true
0.769,10,0.1,0.0,true
0.009,10,0.1,0.0,true
0.228,10,0.1,0.0,true
0.069,10,0.1,0.0,true
0.08,10,0.1,0.0,true
0.563,10,0.1,0.0,true
0.734,10,0.1,0.0,true
0.437,10,0.1,0.0,true
0.082,10,0.1,0.0,true
0.471,10,0.1,0.0,true
0.314,10,0.1,0.0,true
0.277,10,0.1,0.0,true
0.184,10,0.1,0.0,true
0.022,10,0.1,0.0,true
0.755,10,0.1,0.0,true
0.233,10,0.1,0.0,true
0.0,10,0.1,0.0,true
0.331,10,0.1,0.0,true
0.126,10,0.1,0.0,true
0.52,10,0.1,0.0,true
0.137,10,0.1,0.0,true
0.27,10,0.1,0.0,true
0.064,10,0.1,0.0,true
0.464,10,0.1,0.0,true
0.234,10,0.1,0.0,true
0.119,10,0.1,0.0,true
0.109,10,0.1,0.0,true
0.454,10,0.1,0.0,true
0.017,10,0.1,0.0,true
0.003,10,0.1,0.0,true
0.103,10,0.1,0.0,true
0.018,10,0.1,0.0,true
0.839,10,0.1,0.0,true
0.624,10,0.1,0.0,true
0.118,10,0.1,0.0,true
0.336,10,0.1,0.0,true
0.011,10,0.1,0.0,true
0.099,10,0.1,0.0,true
0.362,10,0.1,0.0,true
0.08,10,0.1,0.0,true
0.023,10,0.1,0.0,true
0.165,10,0.1,0.0,true
0.75,10,0.1,0.0,true
0.178,10,0.1,0.0,true
0.21,10,0.1,0.0,true
0.2,10,0.1,0.0,true
0.226,10,0.1,0.0,true
0.362,10,0.1,0.0,true
0.62,10,0.1,0.0,true
0.474,10,0.1,0.0,true
0.059,10,0.1,0.0,true
0.017,10,0.1,0.0,true
0.659,10,0.1,0.0,true
0.444,10,0.1,0.0,true
0.288,10,0.1,0.0,true
0.054,10,0.1,0.0,true
0.176,10,0.1,0.0,true
0.659,10,0.1,0.0,true
0.13,10,0.1,0.0,true
0.003,10,0.1,0.0,true
0.047,10,0.1,0.0,true
0.157,10,0.1,0.0,true
0.917,10,0.1,0.0,true
0.089,10,0.1,0.0,true
0.289,10,0.1,0.0,true
0.026,10,0.1,0.0,true
0.532,10,0.1,0.0,true
0.939,10,0.1,0.0,true
0.898,10,0.1,0.0,true
0.778,10,0.1,0.0,true
0.338,10,0.1,0.0,true
0.708,10,0.1,0.0,true
0.346,10,0.1,0.0,true
0.379,10,0.1,0.0,true
0.076,10,0.1,0.0,true
0.246,10,0.1,0.0,true
0.304,10,0.1,0.0,true
0.116,10,0.1,0.0,true
0.633,10,0.1,0.0,true
0.097,10,0.1,0.0,true
0.347,10,0.1,0.0,true
0.28,10,0.1,0.0,true
0.001,10,0.1,0.0,true
0.438,10,0.1,0.0,true
0.04,10,0.1,0.0,true
0.18,10,0.1,0.0,true
0.725,10,0.1,0.0,true
0.813,10,0.1,0.0,true
0.558,10,0.1,0.0,true
0.163,10,0.1,0.0,true
0.34,10,0.1,0.0,true
0.473,10,0.1,0.0,true
0.788,10,0.1,0.0,true
0.591,10,0.1,0.0,true
0.066,10,0.1,0.0,true
0.212,10,0.1,0.0,true
0.399,10,0.1,0.0,true
0.787,10,0.1,0.0,true
0.252,10,0.1,0.0,true
0.533,10,0.1,0.0,true
0.914,10,0.1,0.0,true
0.013,10,0.1,0.0,true
0.035,10,0.1,0.0,true
0.271,10,0.1,0.0,true
0.037,10,0.1,0.0,true
0.427,10,0.1,0.0,true
0.273,10,0.1,0.0,true
0.253,10,0.1,0.0,true
0.559,10,0.1,0.0,true
0.093,10,0.1,0.0,true
0.693,10,0.1,0.0,true
0.092,10,0.1,0.0,true
0.057,10,0.1,0.0,true
0.099,10,0.1,0.0,true
0.071,10,0.1,0.0,true
0.292,10,0.1,0.0,true
0.073,10,0.1,0.0,true
0.505,10,0.1,0.0,true
0.453,10,0.1,0.0,true
0.248,10,0.1,0.0,true
0.396,10,0.1,0.0,true
0.282,10,0.1,0.0,true
0.379,10,0.1,0.0,true
0.06,10,0.1,0.0,true
0.105,10,0.1,0.0,true
0.205,10,0.1,0.0,true
0.163,10,0.1,0.0,true
0.815,10,0.1,0.0,true
0.771,10,0.1,0.0,true
0.605,10,0.1,0.0,true
0.245,10,0.1,0.0,true
0.274,10,0.1,0.0,true
0.278,10,0.1,0.0,true
0.002,10,0.1,0.0,true
0.113,10,0.1,0.0,true
0.419,10,0.1,0.0,true
0.478,10,0.1,0.0,true
0.007,10,0.1,0.0,true
0.225,10,0.1,0.0,true
0.405,10,0.1,0.0,true
0.031,10,0.1,0.0,true
0.368,10,0.1,0.0,true
0.22,10,0.1,0.0,true
0.376,10,0.1,0.0,true
0.776,10,0.1,0.0,true
0.121,10,0.1,0.0,true
0.328,10,0.1,0.0,true
0.405,10,0.1,0.0,true
0.498,10,0.1,0.0,true
0.724,10,0.1,0.0,true
0.016,10,0.1,0.0,true
0.91,10,0.1,0.0,true
0.134,10,0.1,0.0,true
0.664,10,0.1,0.0,true
0.021,10,0.1,0.0,true
0.492,10,0.1,0.0,true
0.762,10,0.1,0.0,true
0.355,10,0.1,0.0,true
0.566,10,0.1,0.0,true
0.069,10,0.1,0.0,true
0.146,10,0.1,0.0,true
0.25,10,0.1,0.0,true
0.135,10,0.1,0.0,true
0.617,10,0.1,0.0,true
0.032,10,0.1,0.0,true
0.133,10,0.1,0.0,true
0.156,10,0.1,0.0,true
0.116,10,0.1,0.0,true
0.223,10,0.1,0.0,true
0.004,10,0.1,0.0,true
0.171,10,0.1,0.0,true
0.029,10,0.1,0.0,true
0.648,10,0.1,0.0,true
0.535,10,0.1,0.0,true
0.615,10,0.1,0.0,true
0.023,10,0.1,0.0,true
0.678,10,0.1,0.0,true
0.115,10,0.1,0.0,true
0.07,10,0.1,0.0,true
0.495,10,0.1,0.0,true
0.756,10,0.1,0.0,true
0.108,10,0.1,0.0,true
0.253,10,0.1,0.0,true
0.031,10,0.1,0.0,true
0.299,10,0.1,0.0,true
0.042,10,0.1,0.0,true
0.079,10,0.1,0.0,true
0.167,10,0.1,0.0,true
0.084,10,0.1,0.0,true
0.503,10,0.1,0.0,true
0.005,10,0.1,0.0,true
0.45,10,0.1,0.0,true
0.066,10,0.1,0.0,true
0.334,10,0.1,0.0,true
0.243,10,0.1,0.0,true
0.072,10,0.1,0.0,true
0.169,10,0.1,0.0,true
0.07,10,0.1,0.0,true
0.043,10,0.1,0.0,true
0.419,10,0.1,0.0,true
0.075,10,0.1,0.0,true
0.409,10,0.1,0.0,true
0.739,10,0.1,0.0,true
0.349,10,0.1,0.0,true
0.525,10,0.1,0.0,true
0.209,10,0.1,0.0,true
0.226,10,0.1,0.0,true
0.903,10,0.1,0.0,true
0.661,10,0.1,0.0,true
0.59,10,0.1,0.0,true
0.913,10,0.1,0.0,true
0.337,10,0.1,0.0,true
0.043,10,0.1,0.0,true
0.478,10,0.1,0.0,true
0.216,10,0.1,0.0,true
0.36,10,0.1,0.0,true
0.284,10,0.1,0.0,true
0.178,10,0.1,0.0,true
0.019,10,0.1,0.0,true
0.405,10,0.1,0.0,true
0.339,10,0.1,0.0,true
0.315,10,0.1,0.0,true
0.606,10,0.1,0.0,true
0.251,10,0.1,0.0,true
0.558,10,0.1,0.0,true
0.454,10,0.1,0.0,true
0.328,10,0.1,0.0,true
0.004,10,0.1,0.0,true
0.045,10,0.1,0.0,true
0.075,10,0.1,0.0,true
0.108,10,0.1,0.0,true
0.517,10,0.1,0.0,true
0.17,10,0.1,0.0,true
0.178,10,0.1,0.0,true
0.844,10,0.1,0.0,true
0.228,10,0.1,0.0,true
0.008,10,0.1,0.0,true
0.338,10,0.1,0.0,true
0.339,10,0.1,0.0,true
0.548,10,0.1,0.0,true
0.337,10,0.1,0.0,true
0.173,10,0.1,0.0,true
0.705,10,0.1,0.0,true
0.191,10,0.1,0.0,true
0.6,10,0.1,0.0,true
0.223,10,0.1,0.0,true
0.106,10,0.1,0.0,true
0.173,10,0.1,0.0,true
0.04,10,0.1,0.0,true
0.342,10,0.1,0.0,true
0.113,10,0.1,0.0,true
0.421,10,0.1,0.0,true
0.286,10,0.1,0.0,true
0.405,10,0.1,0.0,true
0.184,10,0.1,0.0,true
0.069,10,0.1,0.0,true
0.274,10,0.1,0.0,true
0.019,10,0.1,0.0,true
0.01,10,0.1,0.0,true
0.35,10,0.1,0.0,true
0.175,10,0.1,0.0,true
0.132,10,0.1,0.0,true
0.289,10,0.1,0.0,true
0.325,10,0.1,0.0,true
0.293,10,0.1,0.0,true
0.062,10,0.1,0.0,true
0.222,10,0.1,0.0,true
0.131,10,0.1,0.0,true
0.402,10,0.1,0.0,true
0.015,10,0.1,0.0,true
0.091,10,0.1,0.0,true
0.102,10,0.1,0.0,true
0.073,10,0.1,0.0,true
0.039,10,0.1,0.0,true
0.22,10,0.1,0.0,true
0.097,10,0.1,0.0,true
0.017,10,0.1,0.0,true
0.222,10,0.1,0.0,true
0.238,10,0.1,0.0,true
0.194,10,0.1,0.0,true
0.698,10,0.1,0.0,true
0.539,10,0.1,0.0,true
0.61,10,0.1,0.0,true
0.052,10,0.1,0.0,true
0.18,10,0.1,0.0,true
0.384,10,0.1,0.0,true
0.295,10,0.1,0.0,true
0.616,10,0.1,0.0,true
0.605,10,0.1,0.0,true
0.358,10,0.1,0.0,true
0.04,10,0.1,0.0,true
0.1,10,0.1,0.0,true
0.637,10,0.1,0.0,true
0.229,10,0.1,0.0,true
