model,ECE_uniform,ECE_dynamic,SKCEb_median,SKCEuq_median,SKCEul_median
densenet121,0.015580336535036288,0.06075747085150713,0.000142002559372328,0.00013014214272440307,-0.0003430021466092365
densenet161,0.017215422134870737,0.060093782341566294,0.00014272947220676267,0.00013149945349835864,0.00011244829379661473
densenet169,0.014679250426334165,0.0633568446867163,0.0001820865261048712,0.00017015299185839356,-0.00023215322455860015
googlenet,0.018653071484019457,0.06474663041278167,2.7592939340390308e-5,1.6866938444903805e-5,-0.00040512499082590194
inception_v3,0.018161135941857007,0.060814043222315095,0.00012210851834491422,0.00011106783248135525,2.256324136992012e-5
mobilenet_v2,0.01932442141467776,0.07808434565173408,0.00020640480253504516,0.0001910896662140579,-4.487736692275314e-5
resnet_orig,0.02469567525847689,0.0890208914029213,0.0004270270957049055,0.0004090130412881255,0.00040822068586501034
resnet18,0.01770129811342231,0.0683396190001957,0.00027614450993731235,0.00026252405897488306,0.00035654498042891024
resnet34,0.015896245708811027,0.07194387808052105,0.0003447239696609779,0.000330021099736196,0.00047220631519196283
resnet50,0.015178787578489011,0.06755400691008985,0.00022796536255913054,0.00021464447472962088,7.61802855394578e-5
vgg11_bn,0.01694323586835382,0.07498496867036487,0.0003148466249260927,0.0002998205699904133,-0.0001504973287638866
vgg13_bn,0.01465532124062406,0.05648701200078352,0.00017685929144851834,0.00016542156467571262,-0.00021413018196180273
vgg16_bn,0.016089252909091013,0.06107465066257911,0.0002739802404811663,0.00026163310440876624,0.00032180686830739517
vgg19_bn,0.013907921768009571,0.05470078840956084,0.00023777523612652696,0.00022666083483397308,0.00012673337303486157
